# These usecode opcodes were extracted from the JP version of Crusader: No Remorse


0x00  ASSIGN_LOCAL_CHAR
0x01  ASSIGN_LOCAL_INT
0x02  ASSIGN_LOCAL_LONG
0x03  ASSIGN_LOCAL_HUGE
0x04  ASSIGN_MEMBER_CHAR
0x05  ASSIGN_MEMBER_INT
0x06  ASSIGN_MEMBER_LONG
0x07  ASSIGN_MEMBER_HUGE
0x08  ASSIGN_RESULT
0x09  ASSIGN_ELEMENT
0x0a  CHAR_CONSTANT
0x0b  INT_CONSTANT
0x0c  LONG_CONSTANT
0x0d  STRING_CONSTANT
0x0e  LIST_CONST
0x0f  C_ROUTINE_CALL
0x10  NEAR_ROUTINE_CALL
0x11  FAR_ROUTINE_CALL
0x12  TEMP_POP_INT
0x13  TEMP_POP_LONG
0x14  ADD_INT
0x15  ADD_LONG
0x16  ADD_STRING
0x17  ADD_LIST
0x18  EXCLUSIVE_ADD_LIST
0x19  EXCLUSIVE_ADD_STRING_LIST
0x1a  SUB_STRING_LIST
0x1b  SUB_LIST
0x1c  SUBTRACT_INT
0x1d  SUBTRACT_LONG
0x1e  MULTIPLY_INT
0x1f  MULTIPLY_LONG
0x20  DIVIDE_INT
0x21  DIVIDE_LONG
0x22  MODULO_INT
0x23  MODULO_LONG
0x24  EQUALS_INT
0x25  EQUALS_LONG
0x26  EQUALS_STRING
0x27  EQUALS_HUGE
0x28  LT_INT
0x29  LT_LONG
0x2a  LE_INT
0x2b  LE_LONG
0x2c  GT_INT
0x2d  GT_LONG
0x2e  GE_INT
0x2f  GE_LONG
0x30  NOT_INT
0x31  NOT_LONG
0x32  AND_INT
0x33  AND_LONG
0x34  OR_INT
0x35  OR_LONG
0x36  NE_INT
0x37  NE_LONG
0x38  IN_LIST
0x39  BIT_AND_INT
0x3a  BIT_OR_INT
0x3b  BIT_NOT_INT
0x3c  SHIFT_LEFT
0x3d  SHIFT_RIGHT
0x3e  BYTE_LOCAL_REFERENCE
0x3f  INT_LOCAL_REFERENCE
0x40  LONG_LOCAL_REFERENCE
0x41  STRING_LOCAL_REFERENCE
0x42  LIST_LOCAL_REFERENCE
0x43  S_L_LOCAL_REFERENCE
0x44  LIST_ELEMENT_REF
0x45  HUGE_LOCAL_REFERENCE
0x46  BYTE_MEMBER_REFERENCE
0x47  INT_MEMBER_REFERENCE
0x48  LONG_MEMBER_REFERENCE
0x49  HUGE_MEMBER_REFERENCE
0x4a  THIS_REFERENCE
0x4b  ADDRESS_OF
0x4c  INDIRECT_REFERENCE
0x4d  INDIRECT_ASSIGN
0x4e  GLOBAL_DATA_REFERENCE
0x4f  GLOBAL_DATA_ASSIGN
0x50  RETURN
0x51  IF
0x52  JUMP
0x53  SUSPEND
0x54  IMPLIES
0x55  AND_IMPLIES
0x56  OR_IMPLIES
0x57  SPAWN
0x58  SPAWN_INLINE
0x59  THIS_PID
0x5a  INIT_ROUTINE
0x5b  LINE_NUMBER
0x5c  SYMBOL_INFO
0x5d  PUSH_RETURN_BYTE
0x5e  PUSH_RETURN_INT
0x5f  PUSH_RETURN_LONG
0x60  INT_TO_LONG
0x61  LONG_TO_INT
0x62  LOCAL_STRING_DELETE
0x63  LOCAL_STRING_LIST_DELETE
0x64  LOCAL_LIST_DELETE
0x65  STRING_REL_DELETE
0x66  LIST_REL_DELETE
0x67  STRING_LIST_REL_DELETE
0x68  COPY_STRING
0x69  STRING_ADDRESS
0x6a  CVT_POINTER_TO_STRING
0x6b  CVT_STRING_TO_POINTER
0x6c  PARAM_PID_CHANGE
0x6d  RESULT
0x6e  MOVE_SP
0x6f  REL_ADDRESS_OF
0x70  SEARCH
0x71  SEARCH_RECURSIVE
0x72  SEARCH_SURFACE
0x73  SEARCH_NEXT
0x74  REAL_CHAR_CONSTANT
0x75  FOREACH
0x76  FOREACH_STRING
0x77  SET_PROCESS
0x78  PROCESS_EXCLUDE
0x79  GLOBAL_ADDRESS_OF
0x7a  END
0x7b  REGRESS
